AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$75,412"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,$152
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$1,419,973"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$1,612"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,$359
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,$190
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$68,898"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,$877
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$33,080"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$19,926"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$23,733"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$366,320"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$13,586"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$13,504"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IL  ST  DEPT OF PUBLIC HEALTH,Not available,3/6/2025,"$48,061"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COLORADO STATE BOARD OF EDUCATION,Not available,3/6/2025,$367
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COLORADO STATE BOARD OF EDUCATION,Not available,3/6/2025,"$9,991"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,Not available,3/6/2025,"$11,820"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$47,500"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$5,700"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$7,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COORDINADORA PAZ PARA LA MUJER INC,Not available,3/6/2025,"$1,629"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",Not available,3/6/2025,"$59,091"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",Not available,3/6/2025,$507
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",Not available,3/6/2025,"$10,934"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",Not available,3/6/2025,"$6,383"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"MEDICAL COLLEGE OF WISCONSIN, INC",Not available,3/6/2025,"$32,688"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"MEDICAL COLLEGE OF WISCONSIN, INC",Not available,3/6/2025,"$57,480"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$1,163"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$7,118"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$2,014"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$3,816"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$4,863"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$8,348"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$1,862"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$3,864"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Massachusetts General Hospital, The",Not available,3/6/2025,"$1,953"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Public Health Solutions,Not available,3/6/2025,"$52,185"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Public Health Solutions,Not available,3/6/2025,"$206,633"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COUNTY OF LOS ANGELES,Not available,3/6/2025,"$63,452"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Not available,3/6/2025,"$6,185,464"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CARNEGIE MELLON UNIVERSITY,Not available,3/6/2025,$78
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CARNEGIE MELLON UNIVERSITY,Not available,3/6/2025,"$68,975"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CARNEGIE MELLON UNIVERSITY,Not available,3/6/2025,"$216,438"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$125
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$5,689"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$74
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$49
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$80,527"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$18,166"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$10,624"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$801
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$966
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$7
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$26,085"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$16,666"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$9
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$44,527"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$5,125"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$8,060"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$5
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$55,916"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$485
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$4
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$114
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$105
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$2
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$65
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$176
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$400
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$538
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MN ST DEPARTMENT OF HEALTH,Not available,3/6/2025,$40
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$1,424"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,Not available,3/6/2025,"$27,339"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",Not available,3/6/2025,"$18,236"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",Not available,3/6/2025,"$4,187"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",Not available,3/6/2025,"$191,673"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,Not available,3/6/2025,$109
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"AK ST OFFICE OF THE GOVERNOR, COMM OF CHILD & YOUTH",Not available,3/6/2025,$851
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ASSOCIATION OF STATE AND TERRITORIAL DENTAL DIRECTORS,Not available,3/5/2025,"$6,879"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ASSOCIATION OF STATE AND TERRITORIAL DENTAL DIRECTORS,Not available,3/5/2025,"$5,629"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"ALZHEIMER'S DISEASE AND RELATED DISORDERS ASSOCIATION,",Not available,3/6/2025,"$166,628"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"ALZHEIMER'S DISEASE AND RELATED DISORDERS ASSOCIATION,",Not available,3/6/2025,"$34,832"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$35,248"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$14,205"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$3,261"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$3,170"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$1,141"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$5,637"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$8,204"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$7,188"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$5,266"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$21,724"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$6,347"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$3,090"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,$116
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$39,220"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$8,322"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$1,596"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$7,604"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$4,581"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$6,266"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$8,314"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$5,665"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$7,075"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$11,432"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",Not available,3/6/2025,"$1,212"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$8,640"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$16,602"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$2,029"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$7,910"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$33,856"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$35,934"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$22,443"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$53,830"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$4,594"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$32,844"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$4,649"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$5,666"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$14,873"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$14,519"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$11,155"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$9,263"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$36,079"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$3,380"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$22,310"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NEW YORK UNIVERSITY MEDICAL CENTER,Not available,3/6/2025,"$6,039"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,$518
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,$152
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,"$4,150"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,$840
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,"$2,505"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,"$2,311"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,$632
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,"$1,773"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not available,3/6/2025,"$13,713"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NORTHEASTERN UNIVERSITY,Not available,3/6/2025,"$11,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NORTHEASTERN UNIVERSITY,Not available,3/6/2025,"$6,653"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NORTHEASTERN UNIVERSITY,Not available,3/6/2025,"$5,543"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NORTHEASTERN UNIVERSITY,Not available,3/6/2025,"$152,141"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,NORTHEASTERN UNIVERSITY,Not available,3/6/2025,"$63,215"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$15,594"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$8,544"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$2,889"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$3,443"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$6,622"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$2,902"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$3,914"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$5,226"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$3,537"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$8,362"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$7,517"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$4,773"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$6,136"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$5,197"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$7,639"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$44,358"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$2,152"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$5,237"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$64,497"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$1,666"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$7,077"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,Not available,3/6/2025,"$11,354"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF PENNSYLVANIA,Not available,3/6/2025,"$4,075"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$3,759"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$10,217"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$2,233"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$9,490"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$4,803"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$1,237"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,$348
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$57,179"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$37,835"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$6,436"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$13,324"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$11,822"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$5,316"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$4,734"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$4,946"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$13,859"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,Not available,3/6/2025,"$4,397"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CITY OF PHILADELPHIA,Not available,3/6/2025,"$142,908"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CITY OF PHILADELPHIA,Not available,3/6/2025,"$483,284"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CITY OF PHILADELPHIA,Not available,3/6/2025,"$14,971"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CITY OF PHILADELPHIA,Not available,3/6/2025,"$22,342"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CITY OF PHILADELPHIA,Not available,3/6/2025,"$21,413"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CITY OF PHILADELPHIA,Not available,3/6/2025,"$1,014,379"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CITY OF PHILADELPHIA,Not available,3/6/2025,"$96,148"
